id,priority,scene_group,scene_name,deliverable,reference_mode,prompt_pattern,why_it_works,source_hint,source_url,date_observed
S15,medium,design_mockup,社媒轮播首图,社媒海报,text,"高对比主标题区 + 单一主体 + 强识别配色","适合 X/小红书/公众号封面图","社区案例集合","https://github.com/ZeroLu/awesome-gpt-image","2026-04-23"
S16,medium,commercial,城市旅游海报,海报,text_or_web_research,"城市 landmarks + 季节/节庆主题 + vintage/travel poster style","适合文旅、城市提案、活动海报","GitHub README 旅行海报案例","https://github.com/EvoLinkAI/awesome-gpt-image-2-prompts","2026-04-23"
S17,medium,commercial,城市美食地图插画,信息海报,text_or_web_research,"地图式构图 + 地标 + 招牌菜 + 标注","结合知识和传播,适合长图/PPT/文章","GitHub README 成都美食图案例","https://github.com/EvoLinkAI/awesome-gpt-image-2-prompts","2026-04-23"
S18,medium,design_mockup,手写笔记/文档伪实拍,文章插图,text,"amateur iPhone photo + notebook + casual handwriting","适合课程、知识产品和叙事型内容封面","GitHub README 案例","https://github.com/ZeroLu/awesome-gpt-image","2026-04-23"
S19,medium,information_dense,中文海报式摘要图,摘要长图,text_or_web_research,"围绕一个主题做标题/摘要/要点/图示的海报布局","适合行业方案、研究摘要、公众号导流","社区图库分类","https://github.com/YouMind-OpenLab/awesome-gpt-image-2","2026-04-23"
S20,medium,editing,多图融合杂志封面,封面图,multi_reference_edit,"两到三张图融合成一张统一封面,保留主体识别","适合人物包装和事件专题","本地 API 编辑能力 + 社区常见玩法","https://github.com/Anil-matcha/Awesome-GPT-Image-2-API-Prompts","2026-04-23"
S21,medium,editing,风格迁移海报,海报/reference remix,reference_plus_prompt,"保留构图,替换为赛博朋克/国风/胶片/水彩等风格","适合快速孵化大量创意版本","本地 API 编辑能力","https://github.com/Anil-matcha/Awesome-GPT-Image-2-API-Prompts","2026-04-23"
S22,medium,narrative,儿童绘本插画,插画页,text,"soft poetic children's book illustration + watercolor/gouache + large simple shapes","适合故事包装、教育内容和 IP 试稿","X 案例","https://x.com/i/web/status/2047174895293849972","2026-04-23"
S23,medium,narrative,高级国风绘本,插画页/text cover,text,"宋代山水意境 + 水墨勾线 + 矿物颜料 + 月光雾气","适合品牌国风视觉、文化方案、书刊配图","X 案例","https://x.com/i/web/status/2047185615955918962","2026-04-23"
S24,medium,commercial,食品/周边概念图,产品概念图,text,"IP 角色 + 食物/周边产品设定 + 商业陈列感","适合联名概念、周边提案、活动物料","X 案例","https://x.com/i/web/status/2047122720622538819","2026-04-23"
S25,medium,narrative,影视感人物肖像,海报/头像,text,"35mm film / flash editorial / convenience store neon 等真实摄影语法","适合海报、头像、人物视觉包装","高星 GitHub prompt 库","https://github.com/EvoLinkAI/awesome-gpt-image-2-prompts","2026-04-23"
S26,high,immersive,多图一致性世界观设定集,概念包/品牌宇宙,text,"Create a complete visual worldbuilding set for [theme], multiple images including architecture, characters, clothing, vehicles, and maps, cohesive design language","适合品牌宇宙、IP 设定、方案提案和后续视频关键帧","X ALT prompt","https://x.com/i/web/status/2046866168208916503","2026-04-25"
S27,high,presentation,单张参考图生成品牌指南,品牌指南板/reference-first,reference_plus_prompt,"给一张空间/产品参考图,输出 hero 图、logo 方向、色板、字体、包装/招牌、社媒缩略图的 mini guideline board","适合餐饮、零售、空间品牌升级和甲方提案","X 线程案例","https://x.com/i/web/status/2046869915034890703","2026-04-25"
S28,high,information_dense,医学信息图 JSON 结构化海报,信息图/长图,text_or_web_research,"用 JSON-like schema 明确 anatomy/symptoms/diagnosis/treatment/prevention 分区与 3D 医学插图","适合医学、教育、科普和任何信息密集海报场景","X prompt case","https://x.com/i/web/status/2046891801072501046","2026-04-25"
S29,high,commercial,邮件营销 Campaign 视觉序列,邮件横幅/营销组图,text,"Create a polished email sequence template for [brand]","适合营销自动化、生命周期运营、EDM 模板和品牌活动","X 线程案例","https://x.com/i/web/status/2046717569013293231","2026-04-25"
S30,high,narrative,3x3 分镜板 / 视频关键帧板,storyboard board,text,"3x3 grid storyboard board with consistent subject identity and left-to-right beat progression","适合先做图后做视频、广告脚本、方案演示和短视频脚手架","社区/X 高频玩法","https://github.com/ZeroLu/awesome-gpt-image","2026-04-25"
S31,high,presentation,Campaign Carousel / 轮播卡片组,轮播封面+卡片,text_or_web_research,"围绕一个 brief 输出 headline card、stat card、proof card、CTA card 的统一轮播","适合公域分发、社媒引流、报告摘要和方案精华拆条","社区案例集合","https://github.com/YouMind-OpenLab/awesome-gpt-image-2","2026-04-25"
S32,high,commercial,单 Prompt 高级体育海报,海报,text,"Haz un póster, un diseño de [subject]. Nivel de diseño avanzado, 4:5, wallpaper de móvil.","适合体育、明星、IP、赛事、活动主 KV","X 线程案例","https://x.com/i/web/status/2047030997175124052","2026-04-25"
S33,high,immersive,基础图转 360 全景图,360 全景/edit,text_or_reference,"先生成基础场景,再用 Convert this scene into a 360 equirectangular image 做二次转换","适合展厅、空间漫游、视频背景、游戏场景和虚拟房间","X + GitHub case","https://x.com/i/web/status/2046717349945135472","2026-04-25"
S34,high,design_mockup,中文隶书/书法排版海报,书法海报/text specimen,text,"GPT image 2 隶书字体书写[文案]","适合文化品牌、封面标题、海报主字和书法样张","X 中文案例","https://x.com/i/web/status/2047882040096559249","2026-04-25"
S35,medium,design_mockup,手写笔记/文档伪实拍,文档照/text image,text,"Amateur photo of an open notebook lying flat, filled with handwritten notes in black ballpoint pen... shot on iPhone","适合课程笔记、知识传播、伪纪实叙事和信息卡封面","GitHub 高星 prompt 库","https://github.com/Anil-matcha/Awesome-GPT-Image-2-API-Prompts","2026-04-25"
S36,medium,design_mockup,微观排版 / Rice Grain Typography,微观创意海报,text,"A massive pile of rice, and on one single grain of rice there is tiny text that reads \"[text]\"","适合创意广告、微观文案、脑洞海报和品牌噱头图","GitHub/X 案例","https://github.com/ZeroLu/awesome-gpt-image","2026-04-25"
S37,medium,commercial,促销广告海报（价格贴纸+卖点角标）,商品广告图,text,"promotional advertisement poster for [product], including headline, price badge, feature labels, promo banner, footer CTA","适合电商投放、零售促销、门店物料和多文本排版验证","YouMind 场景库","https://github.com/YouMind-OpenLab/awesome-gpt-image-2","2026-04-25"
S38,medium,design_mockup,电商详情页 / Taobao 商品长图,详情页/长图,text,"A Taobao product detail page for [product], displaying three-view drawings, price, details, functions, and usage scenarios","适合详情页草图、运营页结构草案和商品卖点编排","YouMind 场景库","https://github.com/YouMind-OpenLab/awesome-gpt-image-2","2026-04-25"
S39,medium,commercial,品牌饮品海报 / Japanese retail poster,海报,text,"promotional advertisement poster for a bottled green tea beverage with pricing badges and Japanese copy","适合快消零售、海报排版验证和价格信息布局","YouMind 场景库","https://github.com/YouMind-OpenLab/awesome-gpt-image-2","2026-04-25"
S40,medium,narrative,故事宇宙剪影海报,叙事海报,text,"A collectible epic poster featuring a character's side-profile silhouette. Inside the silhouette grows a complete world and iconic scenes.","适合 IP 提案、世界观海报、品牌故事包装和封面页","GitHub 高星 prompt 库","https://github.com/EvoLinkAI/awesome-gpt-image-2-prompts","2026-04-25"
S41,high,design_mockup,微信小程序商务首页,小程序 UI,text,"按真实小程序首页自上而下描述模块、受众、主色和底部导航,重点约束中文文字可读性","适合社区平台、联盟平台、资源平台和商务服务类首页设计","本地 portfolio 案例","local-portfolio://private-case","2026-04-25"
S42,high,design_mockup,微信小程序学习专区页,小程序 UI / edit,reference_plus_prompt,"给参考图后继续细化栏目、筛选标签、文章卡片和底部导航","适合课程页、学习中心、知识专区、小程序内容页迭代","本地 portfolio 案例","local-portfolio://private-case","2026-04-25"
S43,high,information_dense,高密度业务漫画式漏斗图,长图/漫画信息图,text,"围绕一个业务主题做 6 段式漏斗结构,中央加 AI 或流程枢纽,每段同时含小漫画场景与信息卡","适合获客、SOP、增长策略、转化链路说明","本地 portfolio 案例","local-portfolio://private-case","2026-04-25"
S44,high,information_dense,小红书风教程信息图,一图流/教程长图,text,"真实摄影 + 竖版步骤流程图 + 中文标题高亮 + 每步编号简述","适合菜谱、教程、清单、科普步骤说明、收藏向一图流","本地 portfolio 案例","local-portfolio://private-case","2026-04-25"
S45,high,information_dense,中式菜单/价目表设计图,菜单/文档排版,text,"给出店名、地址、栏目名、菜品与价格,要求中文大字清晰、版式规整","适合餐厅菜单、价目表、饮品单、活动价目页","本地 portfolio 案例","local-portfolio://private-case","2026-04-25"
S46,high,commercial,国风品牌包装陈列图,包装视觉/text-to-image,text,"品牌名 + 东方美学 + 礼盒/手提袋/茶罐/饮品杯 + 山水纹理 + 静物摄影陈列","适合包装提案、礼盒视觉、品牌升级、电商静物 KV","本地 portfolio 案例","local-portfolio://private-case","2026-04-25"
S47,medium,editing,学术风商务肖像改图,职业照/edit,reference_plus_prompt,"把参考照改成高端工作室职业肖像,强调服装、肤色、神态和学术/管理气质","适合创始人照、导师照、研究生头像、管理层头像","本地 portfolio 案例","local-portfolio://private-case","2026-04-25"
S48,medium,editing,电商主图特写重构,商品主图/edit,reference_plus_prompt,"给商品参考图,重构为特写镜头、简约高级背景、质感增强和高分辨率主图","适合主图优化、特写镜头、尺寸改版、电商质感升级","本地 portfolio 案例","local-portfolio://private-case","2026-04-25"
S49,medium,narrative,古代 ARPG / MMO 历史题材截图,游戏截图,text,"一句题材 + 一个角色主体 + 古代 ARPG MMO 开放世界截图","适合历史题材游戏、世界观验证、角色营销图、剧情主视觉","本地 portfolio 案例","local-portfolio://private-case","2026-04-25"
S50,medium,editing,贴纸/标签重设计,贴纸/包装辅料 edit,reference_plus_prompt,"保持功能意图不变,重做字样、层次、配色和材质感","适合标签、贴纸、隐私遮挡贴、包装辅料和品牌小物","本地 portfolio 案例","local-portfolio://private-case","2026-04-25"
